trigger,target,stop,time_limit,trades,tp_rate,sl_rate,timeout_rate,win_rate,total_pnl,avg_pnl,loss_avg,profit_factor,expect_val,sharpe,section
08:46,15,30,3,242,60.3,24.0,15.7,61.2,-7530,-31.0,-24.6,0.71,-31.1,-2.57,08:46
08:46,15,0,5,242,68.6,0.0,31.4,71.1,-8490,-35.0,-35.2,0.75,-35.1,-1.96,08:46
08:46,15,5,5,242,53.7,45.9,0.4,53.7,4270,18.0,-9.0,1.43,17.6,2.81,08:46
08:46,15,10,5,242,55.4,43.8,0.8,55.8,-110,-0.0,-13.8,1.0,-0.5,-0.06,08:46
08:46,15,15,5,242,56.6,40.9,2.5,57.4,-4010,-17.0,-18.2,0.81,-16.6,-1.79,08:46
08:46,15,20,5,242,58.7,36.8,4.5,59.9,-6590,-27.0,-22.2,0.73,-27.2,-2.57,08:46
08:46,15,30,5,242,63.2,25.6,11.2,65.7,-7430,-31.0,-27.3,0.76,-30.7,-2.46,08:46
08:46,15,0,10,242,72.3,0.0,27.7,72.3,-10210,-42.0,-44.0,0.66,-42.2,-2.11,08:46
08:46,15,5,10,242,53.7,45.9,0.4,53.7,4270,18.0,-9.0,1.43,17.6,2.81,08:46
08:46,15,10,10,242,55.8,43.8,0.4,55.8,-30,-0.0,-13.9,1.0,-0.1,-0.02,08:46
08:46,15,15,10,242,57.9,41.7,0.4,57.9,-3830,-16.0,-18.9,0.8,-15.8,-1.7,08:46
08:46,15,20,10,242,60.3,39.3,0.4,60.3,-6780,-28.0,-23.8,0.7,-28.0,-2.6,08:46
08:46,15,30,10,242,65.7,29.3,5.0,65.7,-8050,-33.0,-30.8,0.69,-33.3,-2.58,08:46
08:46,15,0,15,242,74.4,0.0,25.6,76.0,-11680,-48.0,-50.8,0.69,-48.3,-2.23,08:46
08:46,15,5,15,242,53.7,45.9,0.4,53.7,4270,18.0,-9.0,1.43,17.6,2.81,08:46
08:46,15,10,15,242,55.8,43.8,0.4,55.8,-30,-0.0,-13.9,1.0,-0.1,-0.02,08:46
08:46,15,15,15,242,57.9,41.7,0.4,57.9,-3830,-16.0,-18.9,0.8,-15.8,-1.7,08:46
08:46,15,20,15,242,60.3,39.3,0.4,60.3,-6780,-28.0,-23.8,0.7,-28.0,-2.6,08:46
08:46,15,30,15,242,66.5,30.2,3.3,66.5,-8030,-33.0,-31.8,0.69,-33.2,-2.55,08:46
08:46,15,0,20,242,80.2,0.0,19.8,81.0,-10630,-44.0,-66.6,0.7,-43.9,-1.76,08:46
08:46,15,5,20,242,53.7,45.9,0.4,53.7,4270,18.0,-9.0,1.43,17.6,2.81,08:46
08:46,15,10,20,242,55.8,43.8,0.4,55.8,-30,-0.0,-13.9,1.0,-0.1,-0.02,08:46
