result,pnl,tick,time_window,date,month,stock
TIMEOUT,-1876.53,1,15,2026-03-02,2026-03,8454
TIMEOUT,-3376.5299999999997,2,5,2026-03-02,2026-03,8454
TIMEOUT,-2376.5299999999997,2,10,2026-03-02,2026-03,8454
TIMEOUT,-1876.53,2,15,2026-03-02,2026-03,8454
TIMEOUT,-3376.5299999999997,3,5,2026-03-02,2026-03,8454
TIMEOUT,-2376.5299999999997,3,10,2026-03-02,2026-03,8454
TIMEOUT,-1876.53,3,15,2026-03-02,2026-03,8454
TIMEOUT,-3376.5299999999997,5,5,2026-03-02,2026-03,8454
TIMEOUT,-2376.5299999999997,5,10,2026-03-02,2026-03,8454
TIMEOUT,-1876.53,5,15,2026-03-02,2026-03,8454
TIMEOUT,-3376.5299999999997,8,5,2026-03-02,2026-03,8454
TIMEOUT,-2376.5299999999997,8,10,2026-03-02,2026-03,8454
TIMEOUT,-1876.53,8,15,2026-03-02,2026-03,8454
TIMEOUT,-224.93999999999997,1,5,2026-03-02,2026-03,5483
TP,275.06000000000006,1,10,2026-03-02,2026-03,5483
TP,275.06000000000006,1,15,2026-03-02,2026-03,5483
TIMEOUT,-224.93999999999997,2,5,2026-03-02,2026-03,5483
TP,775.0600000000001,2,10,2026-03-02,2026-03,5483
TP,775.0600000000001,2,15,2026-03-02,2026-03,5483
TIMEOUT,-224.93999999999997,3,5,2026-03-02,2026-03,5483
TIMEOUT,-224.93999999999997,3,10,2026-03-02,2026-03,5483
TIMEOUT,775.0600000000001,3,15,2026-03-02,2026-03,5483
TIMEOUT,-224.93999999999997,5,5,2026-03-02,2026-03,5483
TIMEOUT,-224.93999999999997,5,10,2026-03-02,2026-03,5483
TIMEOUT,775.0600000000001,5,15,2026-03-02,2026-03,5483
TIMEOUT,-224.93999999999997,8,5,2026-03-02,2026-03,5483
TIMEOUT,-224.93999999999997,8,10,2026-03-02,2026-03,5483
TIMEOUT,775.0600000000001,8,15,2026-03-02,2026-03,5483
