result,pnl,tick,time_window,entry,date,month
TP,-918.8359999999998,1,30,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,2,5,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,2,10,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,2,15,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,2,20,981.0,2024-09-20,2024-09
TIMEOUT,-6918.835999999999,2,30,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,3,5,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,3,10,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,3,15,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,3,20,981.0,2024-09-20,2024-09
TIMEOUT,-6918.835999999999,3,30,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,5,5,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,5,10,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,5,15,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,5,20,981.0,2024-09-20,2024-09
TIMEOUT,-6918.835999999999,5,30,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,8,5,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,8,10,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,8,15,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,8,20,981.0,2024-09-20,2024-09
TIMEOUT,-6918.835999999999,8,30,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,10,5,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,10,10,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,10,15,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,10,20,981.0,2024-09-20,2024-09
TIMEOUT,-6918.835999999999,10,30,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,15,5,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,15,10,981.0,2024-09-20,2024-09
TIMEOUT,-2918.836,15,15,981.0,2024-09-20,2024-09
TIMEOUT,-3918.836,15,20,981.0,2024-09-20,2024-09
TIMEOUT,-6918.835999999999,15,30,981.0,2024-09-20,2024-09
TP,-899.2759999999998,1,5,971.0,2024-09-23,2024-09
TP,-899.2759999999998,1,10,971.0,2024-09-23,2024-09
TP,-899.2759999999998,1,15,971.0,2024-09-23,2024-09
TP,-899.2759999999998,1,20,971.0,2024-09-23,2024-09
TP,-899.2759999999998,1,30,971.0,2024-09-23,2024-09
TP,100.72400000000016,2,5,971.0,2024-09-23,2024-09
TP,100.72400000000016,2,10,971.0,2024-09-23,2024-09
TP,100.72400000000016,2,15,971.0,2024-09-23,2024-09
TP,100.72400000000016,2,20,971.0,2024-09-23,2024-09
TP,100.72400000000016,2,30,971.0,2024-09-23,2024-09
TP,1100.7240000000002,3,5,971.0,2024-09-23,2024-09
TP,1100.7240000000002,3,10,971.0,2024-09-23,2024-09
TP,1100.7240000000002,3,15,971.0,2024-09-23,2024-09
TP,1100.7240000000002,3,20,971.0,2024-09-23,2024-09
TP,1100.7240000000002,3,30,971.0,2024-09-23,2024-09
TIMEOUT,100.72400000000016,5,5,971.0,2024-09-23,2024-09
TIMEOUT,-899.2759999999998,5,10,971.0,2024-09-23,2024-09
TIMEOUT,1100.7240000000002,5,15,971.0,2024-09-23,2024-09
TIMEOUT,100.72400000000016,5,20,971.0,2024-09-23,2024-09
TIMEOUT,2100.724,5,30,971.0,2024-09-23,2024-09
TIMEOUT,100.72400000000016,8,5,971.0,2024-09-23,2024-09
TIMEOUT,-899.2759999999998,8,10,971.0,2024-09-23,2024-09
TIMEOUT,1100.7240000000002,8,15,971.0,2024-09-23,2024-09
TIMEOUT,100.72400000000016,8,20,971.0,2024-09-23,2024-09
TIMEOUT,2100.724,8,30,971.0,2024-09-23,2024-09
TIMEOUT,100.72400000000016,10,5,971.0,2024-09-23,2024-09
TIMEOUT,-899.2759999999998,10,10,971.0,2024-09-23,2024-09
