result,pnl,tick,date,month,stock
TIMEOUT,232.02800000000002,2,2026-04-17,2026-04,2412
TIMEOUT,232.02800000000002,3,2026-04-17,2026-04,2412
TIMEOUT,232.02800000000002,5,2026-04-17,2026-04,2412
TIMEOUT,232.02800000000002,8,2026-04-17,2026-04,2412
TP,1606.3400000000001,1,2026-04-17,2026-04,3491
TP,6606.34,2,2026-04-17,2026-04,3491
TP,11606.34,3,2026-04-17,2026-04,3491
TP,21606.34,5,2026-04-17,2026-04,3491
TIMEOUT,-68393.66,8,2026-04-17,2026-04,3491
TP,148.89800000000002,1,2026-04-17,2026-04,8454
TP,648.898,2,2026-04-17,2026-04,8454
TP,1148.8980000000001,3,2026-04-17,2026-04,8454
TIMEOUT,-4351.102,5,2026-04-17,2026-04,8454
TIMEOUT,-4351.102,8,2026-04-17,2026-04,8454
TP,2721.26,1,2026-04-17,2026-04,2368
TP,7721.26,2,2026-04-17,2026-04,2368
TP,12721.26,3,2026-04-17,2026-04,2368
TP,22721.260000000002,5,2026-04-17,2026-04,2368
TIMEOUT,7721.26,8,2026-04-17,2026-04,2368
TP,284.84000000000003,1,2026-04-17,2026-04,3045
TP,784.84,2,2026-04-17,2026-04,3045
TP,1284.84,3,2026-04-17,2026-04,3045
TP,2284.84,5,2026-04-17,2026-04,3045
TIMEOUT,2284.84,8,2026-04-17,2026-04,3045
TP,271.148,1,2026-04-17,2026-04,5871
TP,771.148,2,2026-04-17,2026-04,5871
TIMEOUT,771.148,3,2026-04-17,2026-04,5871
TIMEOUT,771.148,5,2026-04-17,2026-04,5871
TIMEOUT,771.148,8,2026-04-17,2026-04,5871
TP,289.73,1,2026-04-17,2026-04,6919
TP,789.73,2,2026-04-17,2026-04,6919
TIMEOUT,289.73,3,2026-04-17,2026-04,6919
TIMEOUT,289.73,5,2026-04-17,2026-04,6919
TIMEOUT,289.73,8,2026-04-17,2026-04,6919
TP,202.68800000000005,1,2026-04-17,2026-04,2597
TP,702.6880000000001,2,2026-04-17,2026-04,2597
TP,1202.688,3,2026-04-17,2026-04,2597
TP,2202.688,5,2026-04-17,2026-04,2597
TP,3702.688,8,2026-04-17,2026-04,2597
TP,196.82000000000005,1,2026-04-17,2026-04,1773
TP,696.82,2,2026-04-17,2026-04,1773
TP,1196.8200000000002,3,2026-04-17,2026-04,1773
TP,2196.82,5,2026-04-17,2026-04,1773
TIMEOUT,2196.82,8,2026-04-17,2026-04,1773
